山东,#genre#
山东卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.78:8000
齐鲁高清,http://eva01.f3322.net:6030/udp/239.253.248.18:8000
山东影视高清,http://eva01.f3322.net:6030/udp/239.253.248.19:8000
山东生活高清,http://eva01.f3322.net:6030/udp/239.253.248.20:8000
山东综艺高清,http://eva01.f3322.net:6030/udp/239.253.248.21:8000
山东体育高清,http://eva01.f3322.net:6030/udp/239.253.248.22:8000
山东公共高清,http://eva01.f3322.net:6030/udp/239.253.248.23:8000
山东农科,http://eva01.f3322.net:6030/udp/239.253.248.24:8000
山东少儿,http://eva01.f3322.net:6030/udp/239.253.248.25:8000
山东国际,http://eva01.f3322.net:6030/udp/239.253.248.26:8000
山东教育卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.59:8000
烟台公共,http://eva01.f3322.net:6030/udp/239.253.248.252:8000
烟台新闻,http://eva01.f3322.net:6030/udp/239.253.248.254:8000
中央,#genre#
CCTV1高清,http://eva01.f3322.net:6030/udp/239.253.248.77:8000
CCTV2高清,http://eva01.f3322.net:6030/udp/239.253.248.234:8000
CCTV3,http://eva01.f3322.net:6030/udp/239.253.248.4:8000
CCTV4高清,http://eva01.f3322.net:6030/udp/239.253.248.111:8000
CCTV5,http://eva01.f3322.net:6030/udp/239.253.248.6:8000
CCTV5高清,http://eva01.f3322.net:6030/udp/239.253.248.80:8000
CCTV6,http://eva01.f3322.net:6030/udp/239.253.248.7:8000
CCTV7高清,http://eva01.f3322.net:6030/udp/239.253.248.235:8000
CCTV8,http://eva01.f3322.net:6030/udp/239.253.248.9:8000
CCTV9高清,http://eva01.f3322.net:6030/udp/239.253.248.79:8000
CCTV10高清,http://eva01.f3322.net:6030/udp/239.253.248.236:8000
CCTV11,http://eva01.f3322.net:6030/udp/239.253.248.12:8000
CCTV12高清,http://eva01.f3322.net:6030/udp/239.253.248.237:8000
CCTV13,http://eva01.f3322.net:6030/udp/239.253.248.14:8000
CCTV少儿高清,http://eva01.f3322.net:6030/udp/239.253.248.238:8000
CCTV15,http://eva01.f3322.net:6030/udp/239.253.248.16:8000
CGTN,http://eva01.f3322.net:6030/udp/239.253.248.17:8000
国内,#genre#
湖南卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.82:8000
浙江卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.84:8000
东方卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.86:8000
江苏卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.83:8000
北京卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.85:8000
安徽卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.87:8000
天津卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.89:8000
辽宁卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.92:8000
深圳卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.91:8000
东南卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.105:8000
湖北卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.88:8000
广东卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.90:8000
黑龙江卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.93:8000
贵州卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.113:8000
河北卫视高清,http://eva01.f3322.net:6030/udp/239.253.248.112:8000
重庆卫视,http://eva01.f3322.net:6030/udp/239.253.248.38:8000
海南卫视,http://eva01.f3322.net:6030/udp/239.253.248.35:8000
四川卫视,http://eva01.f3322.net:6030/udp/239.253.248.50:8000
云南卫视,http://eva01.f3322.net:6030/udp/239.253.248.42:8000
河南卫视,http://eva01.f3322.net:6030/udp/239.253.248.44:8000
江西卫视,http://eva01.f3322.net:6030/udp/239.253.248.47:8000
广西卫视,http://eva01.f3322.net:6030/udp/239.253.248.40:8000
吉林卫视,http://eva01.f3322.net:6030/udp/239.253.248.46:8000
山西卫视,http://eva01.f3322.net:6030/udp/239.253.248.48:8000
陕西卫视,http://eva01.f3322.net:6030/udp/239.253.248.49:8000
内蒙古卫视,http://eva01.f3322.net:6030/udp/239.253.248.58:8000
宁夏卫视,http://eva01.f3322.net:6030/udp/239.253.248.53:8000
新疆卫视,http://eva01.f3322.net:6030/udp/239.253.248.60:8000
甘肃卫视,http://eva01.f3322.net:6030/udp/239.253.248.52:8000
青海卫视,http://eva01.f3322.net:6030/udp/239.253.248.54:8000
西藏卫视,http://eva01.f3322.net:6030/udp/239.253.248.56:8000
兵团卫视,http://eva01.f3322.net:6030/udp/239.253.248.57:8000
农林卫视,http://eva01.f3322.net:6030/udp/239.253.248.70:8000
厦门卫视,http://eva01.f3322.net:6030/udp/239.253.248.106:8000
IPTV5高清,http://eva01.f3322.net:6030/udp/239.253.248.109:8000
儿童,#genre#
金鹰卡通,http://eva01.f3322.net:6030/udp/239.253.248.62:8000
卡酷动画,http://eva01.f3322.net:6030/udp/239.253.248.61:8000
